PCS length (L),Number of PCS of Length L
0,0
1,1962398
2,1795862
3,1681384
4,1585634
5,1515556
6,1429965
7,1367883
8,1307964
9,1241998
10,1185215
11,1136247
12,1079819
13,1034101
14,998133
15,953027
16,910745
17,880670
18,838857
19,805645
20,777204
21,741931
22,713618
23,689119
24,658947
25,634518
26,611344
27,583749
28,562995
29,545303
30,520568
31,500954
32,484725
33,466402
34,448673
35,434082
36,414800
37,399837
38,387881
39,370345
40,357596
41,346779
42,331867
43,320410
44,311388
45,299494
46,287554
47,278900
48,268077
49,257867
50,250314
51,240504
52,231958
53,225519
54,215732
55,209073
56,203670
57,195224
58,187684
59,184062
60,175150
61,170229
62,164857
63,157638
64,151772
65,148332
66,141939
67,138208
68,133968
69,128913
70,124062
71,121119
72,115997
73,112547
74,109575
75,104837
76,101658
77,98780
78,95211
79,91946
80,89604
81,86127
82,82970
83,80909
84,77944
85,75327
86,73493
87,70566
88,68421
89,67059
90,64275
91,62057
92,60703
93,57840
94,56566
95,54907
96,52616
97,51141
98,50471
99,48423
100,46290
101,45649
102,43790
103,42355
104,41636
105,39605
106,38740
107,37762
108,36335
109,35589
110,34387
111,33364
112,32207
113,31409
114,30383
115,29138
116,28369
117,27529
118,26630
119,25870
120,25426
121,24129
122,23710
123,23201
124,22212
125,22018
126,20949
127,20364
128,19876
129,19138
130,18887
131,18558
132,17936
133,17134
134,16871
135,16195
136,15564
137,15377
138,14847
139,14403
140,13997
141,13538
142,12963
143,13050
144,12493
145,12101
146,11631
147,11263
148,11143
149,10963
150,10541
151,10068
152,9996
153,9584
154,9366
155,9184
156,8739
157,8469
158,8531
159,8194
160,7952
161,7945
162,7445
163,7436
164,7317
165,6911
166,6847
167,6684
168,6444
169,6167
170,6144
171,5928
172,5991
173,5691
174,5500
175,5250
176,5438
177,4956
178,4853
179,4989
180,4552
181,4474
182,4545
183,4249
184,4185
185,4210
186,4000
187,3832
188,3940
189,3585
190,3686
191,3618
192,3350
193,3426
194,3371
195,3181
196,3069
197,3125
198,2944
199,2817
200,2875
201,2682
202,2676
203,2582
204,2514
205,2546
206,2387
207,2366
208,2298
209,2309
210,2105
211,2202
212,2166
213,2084
214,2062
215,1979
216,1928
217,1732
218,1872
219,1768
220,1663
221,1812
222,1801
223,1663
224,1617
225,1560
226,1568
227,1543
228,1507
229,1431
230,1351
231,1314
232,1359
233,1357
234,1298
235,1255
236,1313
237,1167
238,1152
239,1217
240,1061
241,1112
242,1093
243,1025
244,1017
245,1021
246,975
247,904
248,928
249,916
250,922
251,923
252,849
253,818
254,893
255,828
256,790
257,731
258,688
259,742
260,748
261,706
262,715
263,734
264,662
265,611
266,672
267,601
268,633
269,612
270,585
271,615
272,563
273,580
274,535
275,510
276,548
277,498
278,560
279,484
280,483
281,485
282,437
283,452
284,449
285,380
286,450
287,425
288,392
289,387
290,457
291,366
292,420
293,405
294,332
295,328
296,358
297,383
298,333
299,308
300,316
301,338
302,347
303,295
304,254
305,315
306,273
307,287
308,284
309,272
310,289
311,266
312,231
313,232
314,251
315,212
316,235
317,226
